ip_a,ip_b,mac_a,mac_b,port_a,port_b,prot,tran_prot,ts_start,ts_end,f4b_a,f4b_b,sfp_a,sfp_b,packets_a,bytes_a,packets_b,bytes_b,min_load_a,mean_load_a,max_load_a,stdv_load_a,min_load_b,mean_load_b,max_load_b,stdv_load_b,min_iat_a,mean_iat_a,max_iat_a,stdv_iat_a,min_iat_b,mean_iat_b,max_iat_b,stdv_iat_b
9f11b35a587b,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52064,HTTP,6,1571589222,1571589256,48545450,48454144,541,341,10,5385,10,733,0,538,1410,605,0,73,392,147,575,3093611,30640616,9182371,0,319497,2951322,879734
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,59342,DNS,17,1571589136,1571589138,d2a78180,d2a70100,49,33,1,49,2,66,49,49,49,0,33,33,33,0,37045,37045,37045,0,0,990867,1981734,990867
fff967e69734,d9d33f9d2382,ebd1a7fa8544,d96b0fddf228,8083,62096,Unknown_UDP,17,1571589145,1571589145,0,52454c41,0,21,0,0,2,42,0,0,0,0,21,21,21,0,0,0,0,0,0,153,306,153
de7d73a2965d,b73bbb57a73a,,,8083,62097,Unknown_UDP,17,1571589145,1571589145,0,52454c41,0,21,0,0,1,21,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,59813,DNS,17,1571589145,1571589145,b7808180,b7800100,55,39,1,55,1,39,55,55,55,0,39,39,39,0,51669,51669,51669,0,0,0,0,0
67c550339ebd,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,59814,Unknown_UDP,17,1571589145,1571589146,0,c3513034,0,1350,0,0,2,1432,0,0,0,0,82,716,1350,634,0,0,0,0,0,82961,165922,82961
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52081,HTTP,6,1571589267,1571589267,48545450,47455420,1410,81,7,4031,6,81,0,576,1410,666,0,14,81,30,68,13653,37403,15878,0,1410,5851,2075
fff967e69734,d9d33f9d2382,ebd1a7fa8544,d96b0fddf228,8083,63005,Unknown_UDP,17,1571589150,1571589150,0,52454c41,0,21,0,0,2,42,0,0,0,0,21,21,21,0,0,0,0,0,0,950,1899,950
de7d73a2965d,b73bbb57a73a,,,8083,63006,Unknown_UDP,17,1571589150,1571589150,0,52454c41,0,21,0,0,1,21,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0
fff967e69734,d9d33f9d2382,ebd1a7fa8544,d96b0fddf228,138,138,Unknown_UDP,17,1571589154,1571589154,110ad8bf,0,208,0,1,208,0,0,208,208,208,0,0,0,0,0,0,0,0,0,0,0,0,0
